supplier,supplier_status,item,basis,spec_date,delivery_period_end,payment_terms,option,logistics,declared_price,consent_price,spec_price,volume_requested,volume_contracted,bids_submitted,bids_contracted,id,late
АГОРА ООО,Трейдер,подсолнечник,"Юг Руси, АО",2022-11-01,2022-11-30,По факту,5.0,0.0,15.0,22.333333333333332,0.0,1000.0,0.0,1.0,0.0,"АГОРА ООО_Юг Руси, АО_2022-11-01",0
АГОРА ООО,Трейдер,подсолнечник,"Юг Руси, АО",2022-11-14,2022-12-11,По факту,10.0,0.65,24.15,24.15,23.5,1000.0,1000.0,1.0,1.0,"АГОРА ООО_Юг Руси, АО_2022-11-14",0
АГОРА ООО,Трейдер,подсолнечник,"Юг Руси, АО",2022-11-29,2022-12-23,По факту,15.0,0.65,24.65,24.65,24.0,4000.0,4000.0,1.0,1.0,"АГОРА ООО_Юг Руси, АО_2022-11-29",0
АГОРА ООО,Трейдер,подсолнечник,"Юг Руси, АО",2022-12-22,2022-12-30,По факту,15.0,0.65,26.15,26.15,25.5,1000.0,1000.0,1.0,1.0,"АГОРА ООО_Юг Руси, АО_2022-12-22",0
АГОРА ООО,Трейдер,подсолнечник,"Юг Руси, АО",2022-12-27,2022-12-27,По факту,10.0,0.65,24.15,24.15,23.5,28.0,28.0,1.0,1.0,"АГОРА ООО_Юг Руси, АО_2022-12-27",0
АГОРА ООО,Трейдер,подсолнечник,"Юг Руси, АО",2023-01-09,2023-01-31,По факту,15.0,0.65,26.15,26.15,25.5,1000.0,1000.0,1.0,1.0,"АГОРА ООО_Юг Руси, АО_2023-01-09",0
АГОРА ООО,Трейдер,подсолнечник,"Юг Руси, АО",2023-01-17,2023-01-31,По факту,15.0,0.65,27.15,27.15,26.5,1000.0,1000.0,1.0,1.0,"АГОРА ООО_Юг Руси, АО_2023-01-17",1
АГОРА ООО,Трейдер,подсолнечник,"Юг Руси, АО",2023-03-01,2023-05-01,По факту,5.0,0.8,32.0,31.5,0.0,7500.0,0.0,1.0,0.0,"АГОРА ООО_Юг Руси, АО_2023-03-01",0
АГОРА ООО,Трейдер,подсолнечник,"Юг Руси, АО",2023-03-02,2023-05-01,По факту,5.0,0.8,32.0,31.5,0.0,7500.0,0.0,1.0,0.0,"АГОРА ООО_Юг Руси, АО_2023-03-02",0
АГОРА ООО,Трейдер,подсолнечник,"Юг Руси, АО",2023-04-01,2023-05-30,По факту,5.0,0.0,6.0,22.0,0.0,3000.0,0.0,1.0,0.0,"АГОРА ООО_Юг Руси, АО_2023-04-01",0
АГОРА ООО,Трейдер,подсолнечник,"Юг Руси, АО",2023-04-12,2023-04-30,По факту,5.0,0.0,24.0,22.0,0.0,3000.0,0.0,1.0,0.0,"АГОРА ООО_Юг Руси, АО_2023-04-12",0
АГРО ДРУЖБА ООО,СХТП,подсолнечник,"ЮР Морозовский филиал, АО",2022-10-05,2022-10-24,По факту,15.0,0.0,21.5,21.5,21.5,50.0,50.0,1.0,1.0,"АГРО ДРУЖБА ООО_ЮР Морозовский филиал, АО_2022-10-05",0
АГРО ДРУЖБА ООО,СХТП,подсолнечник,"ЮР Морозовский филиал, АО",2023-02-20,2023-03-15,По факту,15.0,0.0,31.5,31.5,31.5,110.0,110.0,1.0,1.0,"АГРО ДРУЖБА ООО_ЮР Морозовский филиал, АО_2023-02-20",0
АГРО ОПТ ООО,Трейдер,подсолнечник,"ЮР Аннинский МЭЗ ф-л, ООО",2022-10-04,2022-10-20,По факту,10.0,0.0,26.0,26.0,25.0,2000.0,1950.0,1.0,1.0,"АГРО ОПТ ООО_ЮР Аннинский МЭЗ ф-л, ООО_2022-10-04",0
АГРО ОПТ ООО,Трейдер,подсолнечник,"ЮР Аннинский МЭЗ ф-л, ООО",2022-10-07,2022-10-25,По факту,10.0,0.0,25.5,24.0,0.0,1800.0,0.0,1.0,0.0,"АГРО ОПТ ООО_ЮР Аннинский МЭЗ ф-л, ООО_2022-10-07",0
АГРО ОПТ ООО,Трейдер,подсолнечник,"ЮР Аннинский МЭЗ ф-л, ООО",2022-10-10,2022-10-25,По факту,10.0,0.0,24.0,23.0,0.0,1000.0,0.0,1.0,0.0,"АГРО ОПТ ООО_ЮР Аннинский МЭЗ ф-л, ООО_2022-10-10",0
