iter	Passed	Remaining
665	2535	1271
666	2539	1267
667	2542	1263
668	2546	1259
669	2550	1256
670	2554	1252
671	2558	1248
672	2561	1244
673	2565	1241
674	2569	1237
675	2573	1233
676	2577	1229
677	2581	1225
678	2584	1222
679	2588	1218
680	2592	1214
681	2595	1210
682	2599	1206
683	2603	1202
684	2606	1198
685	2610	1194
686	2614	1191
687	2617	1187
688	2621	1183
689	2625	1179
690	2629	1175
691	2632	1171
692	2636	1168
693	2640	1164
694	2643	1160
695	2647	1156
696	2651	1152
697	2654	1148
698	2658	1144
699	2661	1140
700	2665	1136
701	2669	1133
702	2672	1129
703	2676	1125
704	2679	1121
705	2683	1117
706	2687	1113
707	2690	1109
708	2694	1105
709	2697	1101
710	2701	1098
711	2705	1094
712	2708	1090
713	2712	1086
714	2715	1082
715	2719	1078
716	2723	1074
717	2726	1070
718	2730	1067
719	2734	1063
720	2737	1059
721	2741	1055
722	2744	1051
723	2748	1047
724	2752	1043
725	2755	1039
726	2759	1036
727	2762	1032
728	2766	1028
729	2770	1024
730	2773	1020
731	2777	1016
732	2781	1013
733	2785	1009
734	2789	1005
735	2793	1001
736	2797	998
737	2800	994
738	2804	990
739	2808	986
740	2812	982
741	2816	979
742	2819	975
743	2823	971
744	2827	967
745	2831	963
746	2834	960
747	2838	956
748	2842	952
749	2845	948
750	2849	944
751	2853	940
752	2857	937
753	2861	933
754	2865	930
755	2870	926
756	2874	922
757	2878	918
758	2882	915
759	2886	911
760	2890	907
761	2894	903
762	2897	900
763	2901	896
764	2905	892
765	2909	888
766	2912	884
767	2916	880
768	2919	877
769	2923	873
770	2927	869
771	2931	865
772	2934	861
773	2938	857
774	2941	854
775	2945	850
776	2949	846
777	2952	842
778	2956	838
779	2959	834
780	2963	831
781	2967	827
782	2970	823
783	2974	819
784	2978	815
785	2981	811
786	2985	807
787	2988	804
788	2992	800
789	2996	796
790	2999	792
791	3003	788
792	3007	784
793	3010	781
794	3014	777
795	3017	773
796	3021	769
797	3025	765
798	3028	761
799	3032	758
800	3036	754
801	3039	750
802	3043	746
803	3046	742
804	3050	738
805	3054	735
806	3057	731
807	3061	727
808	3065	723
809	3068	719
810	3072	715
811	3075	712
812	3079	708
813	3083	704
814	3087	700
815	3090	696
816	3094	693
817	3097	689
818	3101	685
819	3105	681
820	3109	677
821	3113	674
822	3116	670
823	3120	666
824	3124	662
825	3127	658
826	3131	655
827	3134	651
828	3138	647
829	3142	643
830	3145	639
831	3149	635
832	3152	632
833	3156	628
834	3160	624
835	3163	620
836	3167	616
837	3171	613
838	3174	609
839	3178	605
840	3182	601
841	3186	597
842	3189	594
843	3193	590
844	3196	586
845	3200	582
846	3204	578
847	3208	575
848	3211	571
849	3215	567
850	3219	563
851	3223	559
852	3226	556
853	3231	552
854	3235	548
855	3238	544
856	3242	541
857	3246	537
858	3250	533
859	3254	529
860	3257	525
861	3261	522
862	3265	518
863	3269	514
864	3272	510
865	3276	507
866	3280	503
867	3284	499
868	3288	495
869	3292	491
870	3296	488
871	3300	484
872	3303	480
873	3307	476
874	3311	473
875	3315	469
876	3319	465
877	3324	461
878	3328	458
879	3332	454
880	3335	450
881	3339	446
882	3343	442
883	3346	439
884	3350	435
885	3354	431
886	3357	427
887	3361	423
888	3365	420
889	3368	416
890	3372	412
891	3376	408
892	3380	404
893	3383	401
894	3387	397
895	3391	393
896	3394	389
897	3398	386
898	3402	382
899	3405	378
900	3409	374
901	3413	370
902	3417	367
903	3420	363
904	3424	359
905	3428	355
906	3431	351
907	3435	348
908	3439	344
909	3443	340
910	3446	336
911	3450	332
912	3454	329
913	3457	325
914	3461	321
915	3464	317
916	3468	313
917	3472	310
918	3476	306
919	3479	302
920	3483	298
921	3487	295
922	3490	291
923	3494	287
924	3498	283
925	3502	279
926	3505	276
927	3509	272
928	3512	268
929	3516	264
930	3520	260
931	3523	257
932	3527	253
933	3531	249
934	3534	245
935	3538	241
936	3542	238
937	3545	234
938	3549	230
939	3553	226
940	3556	223
941	3560	219
942	3564	215
943	3567	211
944	3571	207
945	3575	204
946	3578	200
947	3582	196
948	3586	192
949	3589	188
950	3593	185
951	3596	181
952	3600	177
953	3604	173
954	3607	170
955	3611	166
956	3615	162
957	3618	158
958	3622	154
959	3626	151
960	3630	147
961	3633	143
962	3637	139
963	3641	135
964	3644	132
965	3648	128
966	3652	124
967	3655	120
968	3659	117
969	3663	113
970	3666	109
971	3670	105
972	3674	101
973	3677	98
974	3681	94
975	3685	90
976	3688	86
977	3692	83
978	3696	79
979	3700	75
980	3703	71
981	3707	67
982	3711	64
983	3714	60
984	3718	56
985	3722	52
986	3726	49
987	3730	45
988	3734	41
989	3737	37
990	3741	33
991	3745	30
992	3750	26
993	3754	22
994	3758	18
995	3762	15
996	3766	11
997	3770	7
998	3774	3
999	3779	0
